aircraftId|airlineId|airlineCode|aircraftModel|aircraftStatus
MS0175|AL0064|MS|Airbus A310|INACTIVE
MS0176|AL0064|MS|Airbus A319|INACTIVE
MS0177|AL0064|MS|Airbus A330|ACTIVE
MS0178|AL0064|MS|Airbus A380|ACTIVE
MS0179|AL0064|MS|Airbus A320|INACTIVE
MS0180|AL0064|MS|Airbus A321|ACTIVE
MS0181|AL0064|MS|Boeing 757|ACTIVE
MS0182|AL0064|MS|Airbus A300|ACTIVE
MS0183|AL0064|MS|Boeing 727|ACTIVE
MS0184|AL0064|MS|Airbus A300|ACTIVE
MS0185|AL0064|MS|Airbus A318|ACTIVE
MS0186|AL0064|MS|Airbus A350 XWB|ACTIVE
MS0187|AL0064|MS|Airbus A319|INACTIVE
MS0188|AL0064|MS|Airbus A300|INACTIVE
MS0189|AL0064|MS|Airbus A350 XWB|ACTIVE
MS0190|AL0064|MS|Airbus A350 XWB|ACTIVE
MS0191|AL0064|MS|Airbus A321|INACTIVE
MS0192|AL0064|MS|Airbus A319|ACTIVE
MS0193|AL0064|MS|Boeing 757|INACTIVE
MS0194|AL0064|MS|Airbus A320|ACTIVE
MS0195|AL0064|MS|Boeing 757|ACTIVE
MS0196|AL0064|MS|Airbus A321|ACTIVE
EK0000|AL0065|EK|Airbus A300|ACTIVE
EK0001|AL0065|EK|Boeing 717|ACTIVE
EK0002|AL0065|EK|Boeing 747|INACTIVE
EK0003|AL0065|EK|Airbus A350 XWB|ACTIVE
EK0004|AL0065|EK|Airbus A350 XWB|ACTIVE
EK0005|AL0065|EK|Boeing 767|ACTIVE
EK0006|AL0065|EK|Airbus A319|ACTIVE
EK0007|AL0065|EK|Boeing 777|INACTIVE
EK0008|AL0065|EK|Airbus A340|INACTIVE
EK0009|AL0065|EK|Airbus A318|ACTIVE
EK0010|AL0065|EK|Boeing 777|INACTIVE
EK0011|AL0065|EK|Boeing 787|ACTIVE
EK0012|AL0065|EK|Airbus A350 XWB|ACTIVE
EK0013|AL0065|EK|Boeing 747|INACTIVE
EK0014|AL0065|EK|Airbus A321|ACTIVE
EK0015|AL0065|EK|Boeing 767|ACTIVE
EK0016|AL0065|EK|Airbus A310|ACTIVE
EK0017|AL0065|EK|Airbus A380|ACTIVE
EK0018|AL0065|EK|Boeing 737|ACTIVE
EK0019|AL0065|EK|Airbus A319|ACTIVE
EK0020|AL0065|EK|Boeing 747|INACTIVE
EK0021|AL0065|EK|Airbus A320|ACTIVE
EK0022|AL0065|EK|Airbus A330|INACTIVE
EK0023|AL0065|EK|Airbus A300|INACTIVE
EK0024|AL0065|EK|Airbus A300|ACTIVE
EK0025|AL0065|EK|Boeing 747|ACTIVE
EK0026|AL0065|EK|Boeing 787|ACTIVE
EK0027|AL0065|EK|Boeing 747|ACTIVE
EK0028|AL0065|EK|Boeing 787|ACTIVE
EK0029|AL0065|EK|Boeing 707|INACTIVE
EK0030|AL0065|EK|Boeing 717|ACTIVE
EK0031|AL0065|EK|Boeing 767|INACTIVE
EK0032|AL0065|EK|Boeing 767|ACTIVE
EK0033|AL0065|EK|Airbus A330|ACTIVE
EK0034|AL0065|EK|Airbus A310|INACTIVE
EK0035|AL0065|EK|Airbus A319|ACTIVE
EK0036|AL0065|EK|Airbus A319|ACTIVE
EK0037|AL0065|EK|Boeing 757|INACTIVE
EK0038|AL0065|EK|Boeing 717|ACTIVE
EK0039|AL0065|EK|Airbus A320|ACTIVE
EK0040|AL0065|EK|Boeing 707|INACTIVE
EK0041|AL0065|EK|Airbus A310|ACTIVE
EK0042|AL0065|EK|Boeing 727|ACTIVE
EK0043|AL0065|EK|Boeing 757|INACTIVE
EK0044|AL0065|EK|Airbus A330|ACTIVE
EK0045|AL0065|EK|Airbus A380|ACTIVE
EK0046|AL0065|EK|Airbus A318|ACTIVE
EK0047|AL0065|EK|Airbus A319|ACTIVE
EK0048|AL0065|EK|Boeing 757|ACTIVE
EK0049|AL0065|EK|Boeing 707|ACTIVE
EK0050|AL0065|EK|Airbus A310|ACTIVE
EK0051|AL0065|EK|Airbus A321|ACTIVE
EK0052|AL0065|EK|Airbus A319|INACTIVE
EK0053|AL0065|EK|Airbus A319|ACTIVE
EK0054|AL0065|EK|Airbus A310|ACTIVE
EK0055|AL0065|EK|Boeing 707|ACTIVE
EK0056|AL0065|EK|Airbus A350 XWB|ACTIVE
EK0057|AL0065|EK|Airbus A340|ACTIVE
EK0058|AL0065|EK|Airbus A318|INACTIVE
EK0059|AL0065|EK|Boeing 737|INACTIVE
EK0060|AL0065|EK|Boeing 787|ACTIVE
EK0061|AL0065|EK|Airbus A320|INACTIVE
EK0062|AL0065|EK|Airbus A310|ACTIVE
EK0063|AL0065|EK|Airbus A318|ACTIVE
EK0064|AL0065|EK|Boeing 777|INACTIVE
EK0065|AL0065|EK|Boeing 717|ACTIVE
EK0066|AL0065|EK|Airbus A350 XWB|ACTIVE
EK0067|AL0065|EK|Airbus A350 XWB|INACTIVE
EK0068|AL0065|EK|Airbus A319|ACTIVE
EK0069|AL0065|EK|Airbus A310|ACTIVE
EK0070|AL0065|EK|Airbus A330|INACTIVE
EK0071|AL0065|EK|Boeing 747|INACTIVE
EK0072|AL0065|EK|Airbus A310|ACTIVE
EK0073|AL0065|EK|Boeing 787|ACTIVE
EK0074|AL0065|EK|Boeing 757|INACTIVE
EK0075|AL0065|EK|Boeing 787|ACTIVE
EK0076|AL0065|EK|Airbus A380|ACTIVE
EK0077|AL0065|EK|Boeing 747|INACTIVE
EK0078|AL0065|EK|Airbus A318|ACTIVE
EK0079|AL0065|EK|Boeing 717|INACTIVE
EK0080|AL0065|EK|Boeing 747|ACTIVE
EK0081|AL0065|EK|Airbus A380|ACTIVE
EK0082|AL0065|EK|Airbus A318|ACTIVE
EK0083|AL0065|EK|Airbus A320|ACTIVE
EK0084|AL0065|EK|Airbus A318|ACTIVE
ET0000|AL0066|ET|Boeing 777|ACTIVE
ET0001|AL0066|ET|Boeing 757|ACTIVE
ET0002|AL0066|ET|Airbus A319|INACTIVE
ET0003|AL0066|ET|Airbus A340|ACTIVE
ET0004|AL0066|ET|Airbus A310|INACTIVE
ET0005|AL0066|ET|Boeing 747|ACTIVE
ET0006|AL0066|ET|Airbus A330|ACTIVE
ET0007|AL0066|ET|Airbus A380|INACTIVE
ET0008|AL0066|ET|Boeing 707|ACTIVE
ET0009|AL0066|ET|Boeing 707|ACTIVE
ET0010|AL0066|ET|Airbus A350 XWB|ACTIVE
ET0011|AL0066|ET|Boeing 737|INACTIVE
ET0012|AL0066|ET|Airbus A318|ACTIVE
ET0013|AL0066|ET|Airbus A321|INACTIVE
ET0014|AL0066|ET|Boeing 777|ACTIVE
ET0015|AL0066|ET|Boeing 767|ACTIVE
ET0016|AL0066|ET|Boeing 777|ACTIVE
ET0017|AL0066|ET|Boeing 747|ACTIVE
ET0018|AL0066|ET|Airbus A310|ACTIVE
ET0019|AL0066|ET|Airbus A330|INACTIVE
ET0020|AL0066|ET|Boeing 707|INACTIVE
ET0021|AL0066|ET|Airbus A350 XWB|ACTIVE
ET0022|AL0066|ET|Boeing 717|INACTIVE
ET0023|AL0066|ET|Boeing 777|INACTIVE
ET0024|AL0066|ET|Boeing 707|ACTIVE
ET0025|AL0066|ET|Airbus A330|INACTIVE
ET0026|AL0066|ET|Boeing 747|ACTIVE
ET0027|AL0066|ET|Airbus A310|ACTIVE
ET0028|AL0066|ET|Boeing 767|INACTIVE
ET0029|AL0066|ET|Boeing 767|INACTIVE
ET0030|AL0066|ET|Boeing 787|ACTIVE
ET0031|AL0066|ET|Airbus A330|ACTIVE
ET0032|AL0066|ET|Airbus A350 XWB|INACTIVE
ET0033|AL0066|ET|Boeing 747|ACTIVE
ET0034|AL0066|ET|Boeing 767|ACTIVE
ET0035|AL0066|ET|Airbus A350 XWB|INACTIVE
ET0036|AL0066|ET|Airbus A380|ACTIVE
ET0037|AL0066|ET|Airbus A330|INACTIVE
ET0038|AL0066|ET|Airbus A321|INACTIVE
ET0039|AL0066|ET|Boeing 777|ACTIVE
ET0040|AL0066|ET|Boeing 767|INACTIVE
ET0041|AL0066|ET|Airbus A340|INACTIVE
ET0042|AL0066|ET|Boeing 707|ACTIVE
ET0043|AL0066|ET|Boeing 727|ACTIVE
ET0044|AL0066|ET|Airbus A310|INACTIVE
ET0045|AL0066|ET|Boeing 787|ACTIVE
ET0046|AL0066|ET|Airbus A318|INACTIVE
ET0047|AL0066|ET|Airbus A380|ACTIVE
ET0048|AL0066|ET|Boeing 717|ACTIVE
ET0049|AL0066|ET|Airbus A318|ACTIVE
ET0050|AL0066|ET|Boeing 787|INACTIVE
ET0051|AL0066|ET|Boeing 757|ACTIVE
ET0052|AL0066|ET|Boeing 787|ACTIVE
ET0053|AL0066|ET|Boeing 707|ACTIVE
ET0054|AL0066|ET|Airbus A310|ACTIVE
ET0055|AL0066|ET|Airbus A330|INACTIVE
ET0056|AL0066|ET|Airbus A318|INACTIVE
ET0057|AL0066|ET|Boeing 707|ACTIVE
ET0058|AL0066|ET|Airbus A380|INACTIVE
ET0059|AL0066|ET|Airbus A330|ACTIVE
ET0060|AL0066|ET|Airbus A380|ACTIVE
ET0061|AL0066|ET|Boeing 767|INACTIVE
ET0062|AL0066|ET|Airbus A330|INACTIVE
EY0000|AL0067|EY|Airbus A330|ACTIVE
EY0001|AL0067|EY|Boeing 727|INACTIVE
EY0002|AL0067|EY|Boeing 717|INACTIVE
EY0003|AL0067|EY|Boeing 757|ACTIVE
EY0004|AL0067|EY|Airbus A318|INACTIVE
EY0005|AL0067|EY|Airbus A350 XWB|INACTIVE
EY0006|AL0067|EY|Boeing 787|ACTIVE
EY0007|AL0067|EY|Boeing 707|ACTIVE
EY0008|AL0067|EY|Boeing 717|ACTIVE
EY0009|AL0067|EY|Airbus A319|ACTIVE
EY0010|AL0067|EY|Airbus A318|ACTIVE
EY0011|AL0067|EY|Boeing 777|INACTIVE
EY0012|AL0067|EY|Airbus A318|ACTIVE
EY0013|AL0067|EY|Airbus A320|ACTIVE
EY0014|AL0067|EY|Airbus A350 XWB|ACTIVE
EY0015|AL0067|EY|Airbus A310|ACTIVE
EY0016|AL0067|EY|Boeing 747|INACTIVE
EY0017|AL0067|EY|Boeing 737|ACTIVE
EY0018|AL0067|EY|Boeing 737|ACTIVE
EY0019|AL0067|EY|Boeing 717|ACTIVE
EY0020|AL0067|EY|Airbus A320|INACTIVE
EY0021|AL0067|EY|Airbus A320|ACTIVE
EY0022|AL0067|EY|Boeing 737|INACTIVE
EY0023|AL0067|EY|Airbus A340|INACTIVE
EY0024|AL0067|EY|Boeing 727|ACTIVE
EY0025|AL0067|EY|Boeing 777|INACTIVE
EY0026|AL0067|EY|Boeing 777|ACTIVE
EY0027|AL0067|EY|Boeing 777|ACTIVE
EY0028|AL0067|EY|Airbus A310|INACTIVE
EY0029|AL0067|EY|Airbus A340|INACTIVE
EY0030|AL0067|EY|Airbus A310|ACTIVE
EY0031|AL0067|EY|Boeing 737|ACTIVE
EY0032|AL0067|EY|Boeing 767|ACTIVE
EY0033|AL0067|EY|Airbus A300|ACTIVE
EY0034|AL0067|EY|Boeing 747|ACTIVE
EY0035|AL0067|EY|Airbus A318|INACTIVE
EY0036|AL0067|EY|Airbus A320|ACTIVE
EY0037|AL0067|EY|Boeing 747|INACTIVE
EY0038|AL0067|EY|Boeing 737|INACTIVE
EY0039|AL0067|EY|Boeing 767|ACTIVE
EY0040|AL0067|EY|Boeing 727|INACTIVE
EY0041|AL0067|EY|Airbus A310|INACTIVE
EY0042|AL0067|EY|Airbus A319|ACTIVE
EY0043|AL0067|EY|Airbus A319|ACTIVE
EY0044|AL0067|EY|Airbus A300|INACTIVE
EY0045|AL0067|EY|Airbus A318|ACTIVE
EY0046|AL0067|EY|Airbus A310|INACTIVE
EY0047|AL0067|EY|Airbus A300|INACTIVE
EY0048|AL0067|EY|Boeing 757|ACTIVE
EY0049|AL0067|EY|Airbus A300|ACTIVE
EY0050|AL0067|EY|Boeing 717|ACTIVE
EY0051|AL0067|EY|Airbus A350 XWB|ACTIVE
EY0052|AL0067|EY|Boeing 737|INACTIVE
EY0053|AL0067|EY|Airbus A319|INACTIVE
EY0054|AL0067|EY|Airbus A318|ACTIVE
EY0055|AL0067|EY|Boeing 777|ACTIVE
EY0056|AL0067|EY|Boeing 707|ACTIVE
EY0057|AL0067|EY|Boeing 787|ACTIVE
EY0058|AL0067|EY|Boeing 777|INACTIVE
EY0059|AL0067|EY|Boeing 707|ACTIVE
EY0060|AL0067|EY|Boeing 767|ACTIVE
EY0061|AL0067|EY|Airbus A321|INACTIVE
EY0062|AL0067|EY|Airbus A318|INACTIVE
EY0063|AL0067|EY|Airbus A300|ACTIVE
EY0064|AL0067|EY|Airbus A319|ACTIVE
EY0065|AL0067|EY|Boeing 707|INACTIVE
EY0066|AL0067|EY|Boeing 757|ACTIVE
EY0067|AL0067|EY|Airbus A300|ACTIVE
EY0068|AL0067|EY|Boeing 737|ACTIVE
EY0069|AL0067|EY|Boeing 737|ACTIVE
EY0070|AL0067|EY|Airbus A321|INACTIVE
EY0071|AL0067|EY|Boeing 757|INACTIVE
EY0072|AL0067|EY|Boeing 737|ACTIVE
EY0073|AL0067|EY|Boeing 787|INACTIVE
EY0074|AL0067|EY|Boeing 737|ACTIVE
EY0075|AL0067|EY|Boeing 707|ACTIVE
EY0076|AL0067|EY|Airbus A321|INACTIVE
EY0077|AL0067|EY|Boeing 747|ACTIVE
EY0078|AL0067|EY|Airbus A310|ACTIVE
EY0079|AL0067|EY|Airbus A318|ACTIVE
EY0080|AL0067|EY|Airbus A320|INACTIVE
EY0081|AL0067|EY|Airbus A350 XWB|ACTIVE
EY0082|AL0067|EY|Airbus A300|ACTIVE
EY0083|AL0067|EY|Boeing 717|INACTIVE
EY0084|AL0067|EY|Boeing 787|ACTIVE
EY0085|AL0067|EY|Airbus A318|INACTIVE
EY0086|AL0067|EY|Boeing 757|ACTIVE
EY0087|AL0067|EY|Boeing 787|ACTIVE
EY0088|AL0067|EY|Boeing 727|ACTIVE
EY0089|AL0067|EY|Airbus A310|ACTIVE
EY0090|AL0067|EY|Boeing 717|ACTIVE
EY0091|AL0067|EY|Boeing 747|ACTIVE
EY0092|AL0067|EY|Boeing 707|ACTIVE
EY0093|AL0067|EY|Airbus A350 XWB|ACTIVE
EY0094|AL0067|EY|Airbus A321|ACTIVE
EY0095|AL0067|EY|Boeing 777|ACTIVE
EY0096|AL0067|EY|Airbus A318|ACTIVE
EY0097|AL0067|EY|Boeing 707|INACTIVE
EY0098|AL0067|EY|Boeing 727|ACTIVE
EY0099|AL0067|EY|Boeing 717|ACTIVE
EY0100|AL0067|EY|Airbus A320|ACTIVE
EY0101|AL0067|EY|Airbus A310|ACTIVE
EY0102|AL0067|EY|Airbus A340|ACTIVE
EY0103|AL0067|EY|Boeing 767|ACTIVE
EY0104|AL0067|EY|Boeing 737|INACTIVE
EY0105|AL0067|EY|Airbus A319|ACTIVE
EY0106|AL0067|EY|Airbus A321|INACTIVE
EY0107|AL0067|EY|Airbus A300|ACTIVE
EY0108|AL0067|EY|Airbus A340|ACTIVE
EY0109|AL0067|EY|Boeing 757|INACTIVE
EY0110|AL0067|EY|Boeing 777|ACTIVE
EY0111|AL0067|EY|Boeing 707|ACTIVE
EY0112|AL0067|EY|Airbus A320|ACTIVE
EY0113|AL0067|EY|Boeing 757|ACTIVE
EY0114|AL0067|EY|Airbus A318|ACTIVE
EY0115|AL0067|EY|Boeing 737|ACTIVE
EY0116|AL0067|EY|Airbus A350 XWB|INACTIVE
EY0117|AL0067|EY|Airbus A340|ACTIVE
EY0118|AL0067|EY|Boeing 777|ACTIVE
EY0119|AL0067|EY|Airbus A300|ACTIVE
EY0120|AL0067|EY|Airbus A380|ACTIVE
EY0121|AL0067|EY|Airbus A321|INACTIVE
EY0122|AL0067|EY|Airbus A318|INACTIVE
EY0123|AL0067|EY|Boeing 717|ACTIVE
EY0124|AL0067|EY|Airbus A300|INACTIVE
EY0125|AL0067|EY|Boeing 707|INACTIVE
EY0126|AL0067|EY|Boeing 777|ACTIVE
EY0127|AL0067|EY|Airbus A350 XWB|ACTIVE
EY0128|AL0067|EY|Airbus A300|ACTIVE
EY0129|AL0067|EY|Airbus A310|ACTIVE
EY0130|AL0067|EY|Boeing 767|ACTIVE
EY0131|AL0067|EY|Airbus A380|INACTIVE
EY0132|AL0067|EY|Airbus A319|ACTIVE
EY0133|AL0067|EY|Airbus A330|INACTIVE
EY0134|AL0067|EY|Airbus A350 XWB|INACTIVE
EY0135|AL0067|EY|Boeing 727|ACTIVE
EY0136|AL0067|EY|Airbus A350 XWB|ACTIVE
EY0137|AL0067|EY|Boeing 737|ACTIVE
EY0138|AL0067|EY|Airbus A340|ACTIVE
EY0139|AL0067|EY|Boeing 767|INACTIVE
EY0140|AL0067|EY|Boeing 707|INACTIVE
EY0141|AL0067|EY|Boeing 777|ACTIVE
EY0142|AL0067|EY|Airbus A310|INACTIVE
EY0143|AL0067|EY|Boeing 737|ACTIVE
EY0144|AL0067|EY|Boeing 777|ACTIVE
EY0145|AL0067|EY|Airbus A300|ACTIVE
EY0146|AL0067|EY|Boeing 757|ACTIVE
EY0147|AL0067|EY|Boeing 737|ACTIVE
EY0148|AL0067|EY|Airbus A321|ACTIVE
EY0149|AL0067|EY|Boeing 717|INACTIVE
EY0150|AL0067|EY|Boeing 757|ACTIVE
EY0151|AL0067|EY|Boeing 787|ACTIVE
EY0152|AL0067|EY|Boeing 777|ACTIVE
EY0153|AL0067|EY|Boeing 717|ACTIVE
EY0154|AL0067|EY|Airbus A340|ACTIVE
EY0155|AL0067|EY|Boeing 717|ACTIVE
EY0156|AL0067|EY|Airbus A310|ACTIVE
EY0157|AL0067|EY|Airbus A310|ACTIVE
EY0158|AL0067|EY|Airbus A340|INACTIVE
EY0159|AL0067|EY|Boeing 707|ACTIVE
EY0160|AL0067|EY|Boeing 737|INACTIVE
EY0161|AL0067|EY|Airbus A320|INACTIVE
EY0162|AL0067|EY|Boeing 747|ACTIVE
EY0163|AL0067|EY|Airbus A350 XWB|INACTIVE
EY0164|AL0067|EY|Airbus A380|ACTIVE
EY0165|AL0067|EY|Airbus A318|ACTIVE
EY0166|AL0067|EY|Airbus A318|INACTIVE
EY0167|AL0067|EY|Airbus A321|INACTIVE
EY0168|AL0067|EY|Airbus A318|ACTIVE
EY0169|AL0067|EY|Boeing 757|ACTIVE
EY0170|AL0067|EY|Airbus A320|ACTIVE
EY0171|AL0067|EY|Boeing 737|ACTIVE
EY0172|AL0067|EY|Airbus A340|ACTIVE
EY0173|AL0067|EY|Airbus A380|ACTIVE
EY0174|AL0067|EY|Boeing 707|ACTIVE
EY0175|AL0067|EY|Airbus A330|ACTIVE
EY0176|AL0067|EY|Airbus A310|INACTIVE
EY0177|AL0067|EY|Boeing 737|ACTIVE
EY0178|AL0067|EY|Boeing 747|INACTIVE
EY0179|AL0067|EY|Boeing 747|ACTIVE
EY0180|AL0067|EY|Boeing 787|ACTIVE
BR0000|AL0068|BR|Airbus A330|ACTIVE
BR0001|AL0068|BR|Airbus A321|ACTIVE
BR0002|AL0068|BR|Airbus A310|INACTIVE
BR0003|AL0068|BR|Boeing 757|ACTIVE
BR0004|AL0068|BR|Airbus A300|INACTIVE
BR0005|AL0068|BR|Boeing 717|INACTIVE
BR0006|AL0068|BR|Airbus A321|ACTIVE
BR0007|AL0068|BR|Boeing 737|INACTIVE
BR0008|AL0068|BR|Airbus A318|INACTIVE
BR0009|AL0068|BR|Boeing 737|ACTIVE
BR0010|AL0068|BR|Airbus A318|ACTIVE
BR0011|AL0068|BR|Boeing 707|INACTIVE
BR0012|AL0068|BR|Boeing 767|ACTIVE
BR0013|AL0068|BR|Boeing 767|INACTIVE
BR0014|AL0068|BR|Airbus A300|ACTIVE
BR0015|AL0068|BR|Boeing 707|ACTIVE
BR0016|AL0068|BR|Boeing 707|ACTIVE
BR0017|AL0068|BR|Boeing 767|INACTIVE
BR0018|AL0068|BR|Boeing 707|ACTIVE
BR0019|AL0068|BR|Airbus A319|ACTIVE
BR0020|AL0068|BR|Boeing 787|INACTIVE
BR0021|AL0068|BR|Airbus A319|ACTIVE
BR0022|AL0068|BR|Airbus A310|ACTIVE
BR0023|AL0068|BR|Boeing 717|ACTIVE
BR0024|AL0068|BR|Boeing 747|ACTIVE
BR0025|AL0068|BR|Airbus A330|INACTIVE
BR0026|AL0068|BR|Airbus A320|ACTIVE
BR0027|AL0068|BR|Airbus A300|ACTIVE
BR0028|AL0068|BR|Boeing 747|ACTIVE
BR0029|AL0068|BR|Airbus A321|ACTIVE
BR0030|AL0068|BR|Boeing 717|ACTIVE
BR0031|AL0068|BR|Airbus A350 XWB|ACTIVE
BR0032|AL0068|BR|Boeing 707|ACTIVE
BR0033|AL0068|BR|Boeing 727|ACTIVE
BR0034|AL0068|BR|Boeing 747|ACTIVE
BR0035|AL0068|BR|Airbus A340|INACTIVE
BR0036|AL0068|BR|Boeing 757|ACTIVE
BR0037|AL0068|BR|Airbus A318|ACTIVE
BR0038|AL0068|BR|Airbus A380|ACTIVE
BR0039|AL0068|BR|Airbus A310|ACTIVE
BR0040|AL0068|BR|Airbus A300|INACTIVE
BR0041|AL0068|BR|Airbus A380|INACTIVE
BR0042|AL0068|BR|Boeing 737|ACTIVE
BR0043|AL0068|BR|Airbus A318|ACTIVE
BR0044|AL0068|BR|Boeing 787|INACTIVE
BR0045|AL0068|BR|Airbus A350 XWB|ACTIVE
BR0046|AL0068|BR|Airbus A380|INACTIVE
BR0047|AL0068|BR|Boeing 787|ACTIVE
BR0048|AL0068|BR|Airbus A310|ACTIVE
BR0049|AL0068|BR|Boeing 747|ACTIVE
BR0050|AL0068|BR|Airbus A300|INACTIVE
BR0051|AL0068|BR|Airbus A319|ACTIVE
BR0052|AL0068|BR|Boeing 767|ACTIVE
BR0053|AL0068|BR|Boeing 787|ACTIVE
BR0054|AL0068|BR|Airbus A321|ACTIVE
BR0055|AL0068|BR|Airbus A321|INACTIVE
BR0056|AL0068|BR|Boeing 757|ACTIVE
BR0057|AL0068|BR|Boeing 757|ACTIVE
BR0058|AL0068|BR|Airbus A310|ACTIVE
BR0059|AL0068|BR|Boeing 717|INACTIVE
BR0060|AL0068|BR|Boeing 717|ACTIVE
BR0061|AL0068|BR|Boeing 707|ACTIVE
BR0062|AL0068|BR|Airbus A330|INACTIVE
BR0063|AL0068|BR|Airbus A320|ACTIVE
BR0064|AL0068|BR|Boeing 757|INACTIVE
BR0065|AL0068|BR|Airbus A320|ACTIVE
BR0066|AL0068|BR|Airbus A310|ACTIVE
BR0067|AL0068|BR|Airbus A321|INACTIVE
BR0068|AL0068|BR|Boeing 707|INACTIVE
BR0069|AL0068|BR|Airbus A340|ACTIVE
BR0070|AL0068|BR|Airbus A300|INACTIVE
BR0071|AL0068|BR|Boeing 757|INACTIVE
BR0072|AL0068|BR|Boeing 747|ACTIVE
BR0073|AL0068|BR|Boeing 707|ACTIVE
BR0074|AL0068|BR|Airbus A340|INACTIVE
BR0075|AL0068|BR|Airbus A340|ACTIVE
BR0076|AL0068|BR|Airbus A330|ACTIVE
BR0077|AL0068|BR|Boeing 717|INACTIVE
BR0078|AL0068|BR|Airbus A319|ACTIVE
BR0079|AL0068|BR|Airbus A340|ACTIVE
BR0080|AL0068|BR|Airbus A300|ACTIVE
BR0081|AL0068|BR|Boeing 777|ACTIVE
BR0082|AL0068|BR|Boeing 747|INACTIVE
BR0083|AL0068|BR|Boeing 727|ACTIVE
BR0084|AL0068|BR|Boeing 737|ACTIVE
BR0085|AL0068|BR|Airbus A330|INACTIVE
BR0086|AL0068|BR|Airbus A300|INACTIVE
BR0087|AL0068|BR|Airbus A319|ACTIVE
BR0088|AL0068|BR|Airbus A320|ACTIVE
BR0089|AL0068|BR|Airbus A330|INACTIVE
BR0090|AL0068|BR|Airbus A300|ACTIVE
BR0091|AL0068|BR|Airbus A319|ACTIVE
BR0092|AL0068|BR|Airbus A320|INACTIVE
BR0093|AL0068|BR|Boeing 747|ACTIVE
BR0094|AL0068|BR|Boeing 787|INACTIVE
BR0095|AL0068|BR|Boeing 787|INACTIVE
BR0096|AL0068|BR|Airbus A318|ACTIVE
BR0097|AL0068|BR|Airbus A318|ACTIVE
BR0098|AL0068|BR|Airbus A318|INACTIVE
BR0099|AL0068|BR|Airbus A320|ACTIVE
BR0100|AL0068|BR|Airbus A380|INACTIVE
BR0101|AL0068|BR|Airbus A319|ACTIVE
BR0102|AL0068|BR|Boeing 717|ACTIVE
BR0103|AL0068|BR|Airbus A300|ACTIVE
BR0104|AL0068|BR|Boeing 737|ACTIVE
BR0105|AL0068|BR|Boeing 727|ACTIVE
AY0000|AL0069|AY|Boeing 707|ACTIVE
AY0001|AL0069|AY|Airbus A330|ACTIVE
AY0002|AL0069|AY|Boeing 727|INACTIVE
AY0003|AL0069|AY|Boeing 747|ACTIVE
AY0004|AL0069|AY|Boeing 707|ACTIVE
AY0005|AL0069|AY|Airbus A300|ACTIVE
AY0006|AL0069|AY|Boeing 757|ACTIVE
AY0007|AL0069|AY|Boeing 727|ACTIVE
AY0008|AL0069|AY|Airbus A300|INACTIVE
AY0009|AL0069|AY|Boeing 757|ACTIVE
AY0010|AL0069|AY|Airbus A319|ACTIVE
AY0011|AL0069|AY|Boeing 747|INACTIVE
AY0012|AL0069|AY|Airbus A321|ACTIVE
AY0013|AL0069|AY|Boeing 757|ACTIVE
AY0014|AL0069|AY|Boeing 767|INACTIVE
AY0015|AL0069|AY|Airbus A350 XWB|ACTIVE
AY0016|AL0069|AY|Airbus A321|INACTIVE
AY0017|AL0069|AY|Airbus A319|INACTIVE
AY0018|AL0069|AY|Airbus A330|ACTIVE
AY0019|AL0069|AY|Airbus A350 XWB|INACTIVE
AY0020|AL0069|AY|Airbus A319|INACTIVE
AY0021|AL0069|AY|Airbus A340|ACTIVE
AY0022|AL0069|AY|Boeing 787|ACTIVE
AY0023|AL0069|AY|Boeing 717|ACTIVE
AY0024|AL0069|AY|Boeing 757|ACTIVE
AY0025|AL0069|AY|Boeing 787|ACTIVE
AY0026|AL0069|AY|Boeing 757|ACTIVE
AY0027|AL0069|AY|Boeing 767|ACTIVE
AY0028|AL0069|AY|Boeing 707|INACTIVE
AY0029|AL0069|AY|Boeing 737|ACTIVE
AY0030|AL0069|AY|Boeing 747|ACTIVE
AY0031|AL0069|AY|Airbus A330|INACTIVE
AY0032|AL0069|AY|Airbus A330|ACTIVE
AY0033|AL0069|AY|Boeing 737|ACTIVE
AY0034|AL0069|AY|Boeing 787|INACTIVE
AY0035|AL0069|AY|Airbus A319|ACTIVE
AY0036|AL0069|AY|Airbus A321|ACTIVE
AY0037|AL0069|AY|Boeing 777|ACTIVE
AY0038|AL0069|AY|Boeing 787|ACTIVE
AY0039|AL0069|AY|Airbus A350 XWB|ACTIVE
AY0040|AL0069|AY|Boeing 767|ACTIVE
AY0041|AL0069|AY|Boeing 717|INACTIVE
AY0042|AL0069|AY|Airbus A321|ACTIVE
AY0043|AL0069|AY|Airbus A310|INACTIVE
AY0044|AL0069|AY|Airbus A319|INACTIVE
AY0045|AL0069|AY|Airbus A310|ACTIVE
AY0046|AL0069|AY|Boeing 757|ACTIVE
AY0047|AL0069|AY|Boeing 717|INACTIVE
AY0048|AL0069|AY|Airbus A310|ACTIVE
AY0049|AL0069|AY|Airbus A380|ACTIVE
AY0050|AL0069|AY|Boeing 727|ACTIVE
AY0051|AL0069|AY|Airbus A321|ACTIVE
AY0052|AL0069|AY|Boeing 707|ACTIVE
AY0053|AL0069|AY|Boeing 727|INACTIVE
AY0054|AL0069|AY|Boeing 767|ACTIVE
AY0055|AL0069|AY|Boeing 757|INACTIVE
