airlineId|aircraftId|model|status
AL0039|B20203|AirBus A310|ACTIVE
AL0039|B20134|AirBus A330neo|ACTIVE
AL0039|B20093|Boeing 787 Dreamliner|ACTIVE
AL0039|B20192|Boeing 727|ACTIVE
AL0039|B20165|Boeing 787 Dreamliner|ACTIVE
AL0039|B20264|AirBus A220|ACTIVE
AL0039|B20128|AirBus A321|ACTIVE
AL0039|B20246|Boeing 737|ACTIVE
AL0039|B20287|Boeing 717|ACTIVE
AL0039|B20185|Boeing 737|ACTIVE
AL0039|B20264|Boeing 787 Dreamliner|ACTIVE
AL0039|B20014|AirBus A320|ACTIVE
AL0039|B20224|Boeing 737|ACTIVE
AL0039|B20103|Boeing 787 Dreamliner|ACTIVE
AL0039|B20271|Boeing 727|ACTIVE
AL0039|B20064|AirBus A319|ACTIVE
AL0039|B20277|AirBus A330neo|ACTIVE
AL0039|B20131|AirBus A310|ACTIVE
AL0039|B20137|AirBus A340|ACTIVE
AL0039|B20128|AirBus A330neo|ACTIVE
AL0039|B20213|AirBus A340|ACTIVE
AL0039|B20063|AirBus A350 XWB|ACTIVE
AL0039|B20054|AirBus A321XLR|ACTIVE
AL0039|B20259|AirBus A380|ACTIVE
AL0039|B20037|Boeing 787 Dreamliner|ACTIVE
AL0039|B20227|Boeing 787 Dreamliner|ACTIVE
AL0039|B20129|AirBus A350 XWB|ACTIVE
AL0039|B20048|Boeing 747|ACTIVE
AL0039|B20142|AirBus A310|ACTIVE
AL0039|B20077|AirBus A330|ACTIVE
AL0039|B20197|Boeing 727|ACTIVE
AL0039|B20007|AirBus A350 XWB|ACTIVE
AL0039|B20240|AirBus A310|ACTIVE
AL0039|B20026|Boeing 727|ACTIVE
AL0039|B20014|Boeing 737|ACTIVE
AL0039|B20257|Boeing 737|ACTIVE
AL0039|B20174|AirBus A330neo|ACTIVE
AL0039|B20207|AirBus A350 XWB|ACTIVE
AL0039|B20047|AirBus A319|ACTIVE
AL0039|B20224|AirBus A380|ACTIVE
AL0039|B20242|AirBus A330|ACTIVE
AL0039|B20071|AirBus A321|ACTIVE
AL0039|B20079|AirBus A320|ACTIVE
AL0039|B20233|AirBus A320|ACTIVE
AL0039|B20255|Boeing 767|ACTIVE
AL0039|B20050|Boeing 717|ACTIVE
AL0039|B20062|Boeing 767|ACTIVE
AL0039|B20134|Boeing 777|ACTIVE
AL0039|B20128|Boeing 727|ACTIVE
AL0039|B20201|AirBus A380|ACTIVE
AL0039|B20151|Boeing 727|ACTIVE
AL0039|B20016|AirBus A380|ACTIVE
AL0039|B20257|AirBus A320|ACTIVE
AL0039|B20230|AirBus A330|ACTIVE
AL0039|B20015|Boeing 737|ACTIVE
AL0039|B20029|AirBus A340|ACTIVE
AL0039|B20050|Boeing 737|ACTIVE
AL0039|B20264|AirBus A340|ACTIVE
AL0039|B20102|Boeing 747|ACTIVE
AL0039|B20149|AirBus A321|ACTIVE
AL0039|B20059|Boeing 717|ACTIVE
AL0039|B20185|Boeing 787 Dreamliner|ACTIVE
AL0039|B20265|AirBus A321XLR|ACTIVE
AL0039|B20094|AirBus A330|ACTIVE
AL0039|B20126|AirBus A350 XWB|ACTIVE
AL0039|B20109|AirBus A321|ACTIVE
AL0039|B20278|Boeing 737|ACTIVE
AL0039|B20114|Boeing 737|ACTIVE
AL0039|B20289|Boeing 767|ACTIVE
AL0039|B20218|Boeing 717|ACTIVE
AL0039|B20035|Boeing 757|ACTIVE
AL0039|B20253|AirBus A350 XWB|ACTIVE
AL0039|B20105|AirBus A340|ACTIVE
AL0039|B20291|Boeing 707|ACTIVE
AL0039|B20240|AirBus A330neo|ACTIVE
AL0039|B20042|AirBus A321XLR|ACTIVE
AL0039|B20077|Boeing 717|ACTIVE
AL0039|B20066|Boeing 777|ACTIVE
AL0039|B20008|AirBus A350 XWB|ACTIVE
AL0039|B20201|Boeing 757|ACTIVE
AL0039|B20085|AirBus A330|ACTIVE
AL0039|B20119|AirBus A380|ACTIVE
AL0039|B20056|AirBus A310|ACTIVE
AL0039|B20152|AirBus A319|ACTIVE
AL0039|B20050|Boeing 737|ACTIVE
AL0039|B20254|Boeing 727|ACTIVE
AL0039|B20144|AirBus A330neo|ACTIVE
AL0039|B20185|Boeing 707|ACTIVE
AL0039|B20046|Boeing 707|ACTIVE
AL0039|B20206|Boeing 717|ACTIVE
AL0039|B20193|Boeing 727|ACTIVE
AL0039|B20113|Boeing 767|ACTIVE
AL0039|B20122|Boeing 787 Dreamliner|ACTIVE
AL0039|B20059|AirBus A340|ACTIVE
AL0039|B20275|Boeing 727|ACTIVE
AL0040|B30096|AirBus A340|ACTIVE
AL0040|B30106|AirBus A319|ACTIVE
AL0040|B30198|Boeing 707|ACTIVE
AL0040|B30034|AirBus A330neo|ACTIVE
AL0040|B30134|Boeing 737|ACTIVE
AL0040|B30163|Boeing 757|ACTIVE
AL0040|B30276|Boeing 777|ACTIVE
AL0040|B30110|AirBus A310|ACTIVE
AL0040|B30281|AirBus A330|ACTIVE
AL0040|B30153|AirBus A340|ACTIVE
AL0040|B30260|AirBus A320|ACTIVE
AL0040|B30175|AirBus A220|ACTIVE
AL0040|B30248|AirBus A320|ACTIVE
AL0040|B30058|AirBus A380|ACTIVE
AL0040|B30214|Boeing 757|ACTIVE
AL0040|B30076|AirBus A321XLR|ACTIVE
AL0040|B30066|Boeing 757|ACTIVE
AL0040|B30293|AirBus A321|ACTIVE
AL0040|B30185|Boeing 757|ACTIVE
AL0040|B30284|Boeing 717|ACTIVE
AL0040|B30210|AirBus A321XLR|ACTIVE
AL0040|B30109|AirBus A330neo|ACTIVE
AL0040|B30142|Boeing 737|ACTIVE
AL0040|B30236|AirBus A330|ACTIVE
AL0040|B30098|Boeing 787 Dreamliner|ACTIVE
AL0040|B30251|AirBus A320|ACTIVE
AL0040|B30020|AirBus A340|ACTIVE
AL0040|B30134|AirBus A330|ACTIVE
AL0040|B30219|AirBus A340|ACTIVE
AL0040|B30170|AirBus A320|ACTIVE
AL0040|B30253|Boeing 767|ACTIVE
AL0040|B30279|AirBus A330|ACTIVE
AL0040|B30214|Boeing 777|ACTIVE
AL0040|B30090|AirBus A321XLR|ACTIVE
AL0040|B30268|AirBus A330neo|ACTIVE
AL0040|B30040|Boeing 737|ACTIVE
AL0040|B30287|AirBus A350 XWB|ACTIVE
AL0040|B30221|Boeing 717|ACTIVE
AL0040|B30086|Boeing 767|ACTIVE
AL0040|B30118|AirBus A350 XWB|ACTIVE
AL0040|B30181|Boeing 737|ACTIVE
AL0040|B30282|Boeing 707|ACTIVE
AL0040|B30244|AirBus A310|ACTIVE
AL0040|B30057|Boeing 757|ACTIVE
AL0040|B30155|AirBus A310|ACTIVE
AL0040|B30059|AirBus A330|ACTIVE
AL0040|B30099|AirBus A350 XWB|ACTIVE
AL0040|B30205|AirBus A380|ACTIVE
AL0040|B30202|Boeing 707|ACTIVE
AL0040|B30092|Boeing 727|ACTIVE
AL0040|B30163|AirBus A321|ACTIVE
AL0040|B30205|Boeing 737|ACTIVE
AL0040|B30015|AirBus A330neo|ACTIVE
AL0040|B30250|AirBus A321|ACTIVE
AL0040|B30156|AirBus A319|ACTIVE
AL0040|B30282|AirBus A350 XWB|ACTIVE
AL0040|B30131|AirBus A321XLR|ACTIVE
AL0040|B30097|Boeing 747|ACTIVE
AL0040|B30143|AirBus A330|ACTIVE
AL0040|B30243|AirBus A321|ACTIVE
AL0040|B30296|AirBus A310|ACTIVE
AL0040|B30277|AirBus A330neo|ACTIVE
AL0040|B30296|AirBus A330|ACTIVE
AL0040|B30160|AirBus A350 XWB|ACTIVE
AL0040|B30296|Boeing 767|ACTIVE
AL0040|B30013|AirBus A220|ACTIVE
AL0040|B30144|AirBus A340|ACTIVE
AL0040|B30158|Boeing 727|ACTIVE
AL0040|B30204|Boeing 707|ACTIVE
AL0040|B30173|AirBus A350 XWB|ACTIVE
AL0040|B30201|AirBus A380|ACTIVE
AL0040|B30286|Boeing 717|ACTIVE
AL0040|B30129|Boeing 707|ACTIVE
AL0040|B30282|Boeing 757|ACTIVE
AL0040|B30105|AirBus A350 XWB|ACTIVE
AL0040|B30071|Boeing 767|ACTIVE
AL0040|B30228|AirBus A319|ACTIVE
AL0040|B30056|Boeing 707|ACTIVE
AL0040|B30022|AirBus A330neo|ACTIVE
AL0040|B30077|AirBus A321|ACTIVE
AL0040|B30017|Boeing 767|ACTIVE
AL0040|B30162|Boeing 727|ACTIVE
AL0040|B30200|AirBus A321XLR|ACTIVE
AL0040|B30134|AirBus A320|ACTIVE
AL0040|B30184|Boeing 787 Dreamliner|ACTIVE
AL0040|B30241|AirBus A321XLR|ACTIVE
AL0040|B30293|Boeing 757|ACTIVE
AL0040|B30223|AirBus A320|ACTIVE
AL0040|B30233|AirBus A350 XWB|ACTIVE
AL0040|B30147|AirBus A330neo|ACTIVE
AL0040|B30284|AirBus A330|ACTIVE
AL0040|B30203|AirBus A380|ACTIVE
AL0040|B30100|AirBus A380|ACTIVE
AL0040|B30237|Boeing 737|ACTIVE
AL0040|B30145|Boeing 707|ACTIVE
AL0040|B30000|Boeing 747|ACTIVE
AL0040|B30269|Boeing 767|ACTIVE
AL0040|B30002|Boeing 717|ACTIVE
AL0040|B30155|Boeing 717|ACTIVE
AL0040|B30234|Boeing 717|ACTIVE
AL0040|B30223|Boeing 747|ACTIVE
AL0040|B30290|AirBus A321|ACTIVE
AL0040|B30093|Boeing 727|ACTIVE
AL0040|B30293|AirBus A321|ACTIVE
AL0040|B30178|AirBus A310|ACTIVE
AL0040|B30282|AirBus A350 XWB|ACTIVE
AL0040|B30230|Boeing 717|ACTIVE
AL0040|B30178|Boeing 707|ACTIVE
AL0040|B30237|AirBus A321XLR|ACTIVE
AL0040|B30197|AirBus A310|ACTIVE
AL0040|B30196|AirBus A310|ACTIVE
AL0040|B30180|AirBus A330neo|ACTIVE
AL0040|B30204|Boeing 707|ACTIVE
AL0040|B30140|Boeing 767|ACTIVE
AL0040|B30059|Boeing 787 Dreamliner|ACTIVE
AL0040|B30032|Boeing 717|ACTIVE
AL0040|B30152|AirBus A319|ACTIVE
AL0040|B30122|Boeing 757|ACTIVE
AL0040|B30269|Boeing 717|ACTIVE
AL0040|B30217|Boeing 767|ACTIVE
AL0040|B30024|AirBus A350 XWB|ACTIVE
AL0040|B30220|AirBus A340|ACTIVE
AL0040|B30022|AirBus A220|ACTIVE
AL0040|B30228|Boeing 707|ACTIVE
AL0040|B30225|AirBus A321XLR|ACTIVE
AL0040|B30283|AirBus A330neo|ACTIVE
AL0040|B30030|AirBus A321XLR|ACTIVE
AL0040|B30045|AirBus A310|ACTIVE
AL0040|B30102|Boeing 747|ACTIVE
AL0040|B30169|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0253|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0232|AirBus A321|ACTIVE
AL0041|OB0189|AirBus A310|ACTIVE
AL0041|OB0209|AirBus A350 XWB|ACTIVE
AL0041|OB0220|AirBus A320|ACTIVE
AL0041|OB0122|AirBus A319|ACTIVE
AL0041|OB0017|AirBus A310|ACTIVE
AL0041|OB0181|AirBus A330neo|ACTIVE
AL0041|OB0254|AirBus A321|ACTIVE
AL0041|OB0271|AirBus A321XLR|ACTIVE
AL0041|OB0073|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0289|AirBus A321XLR|ACTIVE
AL0041|OB0049|AirBus A380|ACTIVE
AL0041|OB0203|AirBus A330|ACTIVE
AL0041|OB0193|AirBus A220|ACTIVE
AL0041|OB0058|AirBus A321XLR|ACTIVE
AL0041|OB0220|AirBus A330neo|ACTIVE
AL0041|OB0231|AirBus A320|ACTIVE
AL0041|OB0029|Boeing 767|ACTIVE
AL0041|OB0285|Boeing 707|ACTIVE
AL0041|OB0091|AirBus A220|ACTIVE
AL0041|OB0260|Boeing 737|ACTIVE
AL0041|OB0110|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0265|Boeing 737|ACTIVE
AL0041|OB0094|AirBus A350 XWB|ACTIVE
AL0041|OB0071|Boeing 757|ACTIVE
AL0041|OB0295|AirBus A320|ACTIVE
AL0041|OB0184|Boeing 717|ACTIVE
AL0041|OB0181|Boeing 777|ACTIVE
AL0041|OB0172|AirBus A319|ACTIVE
AL0041|OB0093|Boeing 717|ACTIVE
AL0041|OB0194|AirBus A340|ACTIVE
AL0041|OB0080|Boeing 777|ACTIVE
AL0041|OB0230|AirBus A319|ACTIVE
AL0041|OB0082|AirBus A350 XWB|ACTIVE
AL0041|OB0230|AirBus A350 XWB|ACTIVE
AL0041|OB0213|AirBus A330|ACTIVE
AL0041|OB0018|AirBus A321XLR|ACTIVE
AL0041|OB0182|AirBus A330|ACTIVE
AL0041|OB0041|AirBus A319|ACTIVE
AL0041|OB0232|AirBus A220|ACTIVE
AL0041|OB0088|AirBus A330|ACTIVE
AL0041|OB0170|AirBus A380|ACTIVE
AL0041|OB0189|AirBus A319|ACTIVE
AL0041|OB0269|AirBus A340|ACTIVE
AL0041|OB0105|AirBus A380|ACTIVE
AL0041|OB0192|Boeing 767|ACTIVE
AL0041|OB0235|Boeing 707|ACTIVE
AL0041|OB0260|Boeing 747|ACTIVE
AL0041|OB0226|AirBus A330neo|ACTIVE
AL0041|OB0095|Boeing 707|ACTIVE
AL0041|OB0177|Boeing 777|ACTIVE
AL0041|OB0184|Boeing 757|ACTIVE
AL0041|OB0249|AirBus A310|ACTIVE
AL0041|OB0124|Boeing 717|ACTIVE
AL0041|OB0153|Boeing 717|ACTIVE
AL0041|OB0132|AirBus A320|ACTIVE
AL0041|OB0122|AirBus A330neo|ACTIVE
AL0041|OB0197|Boeing 707|ACTIVE
AL0041|OB0143|Boeing 727|ACTIVE
AL0041|OB0223|AirBus A220|ACTIVE
AL0041|OB0276|Boeing 707|ACTIVE
AL0041|OB0146|AirBus A310|ACTIVE
AL0041|OB0123|AirBus A330|ACTIVE
AL0041|OB0217|AirBus A310|ACTIVE
AL0041|OB0103|AirBus A319|ACTIVE
AL0041|OB0172|AirBus A330|ACTIVE
AL0041|OB0274|Boeing 767|ACTIVE
AL0041|OB0211|Boeing 717|ACTIVE
AL0041|OB0264|AirBus A320|ACTIVE
AL0041|OB0033|AirBus A350 XWB|ACTIVE
AL0041|OB0199|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0131|AirBus A340|ACTIVE
AL0041|OB0044|Boeing 727|ACTIVE
AL0041|OB0147|Boeing 717|ACTIVE
AL0041|OB0100|AirBus A350 XWB|ACTIVE
AL0041|OB0043|AirBus A330|ACTIVE
AL0041|OB0070|Boeing 727|ACTIVE
AL0041|OB0131|AirBus A220|ACTIVE
AL0041|OB0139|AirBus A330neo|ACTIVE
AL0041|OB0161|AirBus A321XLR|ACTIVE
AL0041|OB0256|AirBus A321XLR|ACTIVE
AL0041|OB0054|Boeing 707|ACTIVE
AL0041|OB0065|AirBus A350 XWB|ACTIVE
AL0041|OB0101|AirBus A340|ACTIVE
AL0041|OB0256|Boeing 777|ACTIVE
AL0041|OB0280|Boeing 737|ACTIVE
AL0041|OB0023|AirBus A340|ACTIVE
AL0041|OB0055|AirBus A321XLR|ACTIVE
AL0041|OB0105|AirBus A220|ACTIVE
AL0041|OB0225|Boeing 757|ACTIVE
AL0041|OB0099|Boeing 747|ACTIVE
AL0041|OB0257|AirBus A319|ACTIVE
AL0041|OB0268|Boeing 727|ACTIVE
AL0041|OB0003|Boeing 717|ACTIVE
AL0041|OB0257|Boeing 727|ACTIVE
AL0041|OB0175|AirBus A380|ACTIVE
AL0041|OB0195|AirBus A330|ACTIVE
AL0041|OB0221|AirBus A310|ACTIVE
AL0041|OB0117|AirBus A320|ACTIVE
AL0041|OB0033|AirBus A340|ACTIVE
AL0041|OB0055|Boeing 767|ACTIVE
AL0041|OB0241|Boeing 767|ACTIVE
AL0041|OB0292|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0128|AirBus A220|ACTIVE
AL0041|OB0285|Boeing 767|ACTIVE
AL0041|OB0256|AirBus A350 XWB|ACTIVE
AL0041|OB0184|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0069|AirBus A310|ACTIVE
AL0041|OB0167|Boeing 707|ACTIVE
AL0041|OB0157|AirBus A310|ACTIVE
AL0041|OB0034|Boeing 727|ACTIVE
AL0041|OB0119|AirBus A380|ACTIVE
AL0041|OB0246|Boeing 737|ACTIVE
AL0041|OB0154|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0147|Boeing 707|ACTIVE
AL0041|OB0112|AirBus A310|ACTIVE
AL0041|OB0180|Boeing 767|ACTIVE
AL0041|OB0073|AirBus A330|ACTIVE
AL0041|OB0187|AirBus A320|ACTIVE
AL0041|OB0056|Boeing 787 Dreamliner|ACTIVE
AL0041|OB0164|AirBus A320|ACTIVE
AL0041|OB0068|Boeing 777|ACTIVE
AL0041|OB0177|Boeing 717|ACTIVE
AL0041|OB0278|Boeing 747|ACTIVE
AL0041|OB0122|Boeing 777|ACTIVE
AL0041|OB0287|Boeing 707|ACTIVE
AL0041|OB0188|AirBus A330|ACTIVE
AL0041|OB0040|AirBus A321XLR|ACTIVE
AL0041|OB0274|AirBus A330|ACTIVE
AL0042|BA0280|Boeing 727|ACTIVE
AL0042|BA0080|AirBus A321XLR|ACTIVE
AL0042|BA0275|AirBus A321XLR|ACTIVE
AL0042|BA0181|AirBus A321XLR|ACTIVE
AL0042|BA0234|AirBus A319|ACTIVE
AL0042|BA0130|AirBus A220|ACTIVE
AL0042|BA0133|Boeing 737|ACTIVE
AL0042|BA0190|Boeing 757|ACTIVE
AL0042|BA0147|AirBus A350 XWB|ACTIVE
AL0042|BA0020|AirBus A321|ACTIVE
AL0042|BA0036|AirBus A321|ACTIVE
AL0042|BA0134|Boeing 777|ACTIVE
AL0042|BA0260|Boeing 777|ACTIVE
AL0042|BA0005|AirBus A350 XWB|ACTIVE
AL0042|BA0175|AirBus A350 XWB|ACTIVE
AL0042|BA0065|AirBus A380|ACTIVE
AL0042|BA0246|Boeing 717|ACTIVE
AL0042|BA0257|Boeing 787 Dreamliner|ACTIVE
AL0042|BA0043|AirBus A330neo|ACTIVE
AL0042|BA0226|Boeing 727|ACTIVE
AL0042|BA0220|AirBus A310|ACTIVE
AL0042|BA0269|AirBus A321XLR|ACTIVE
AL0042|BA0137|AirBus A220|ACTIVE
AL0042|BA0144|Boeing 747|ACTIVE
AL0042|BA0067|AirBus A220|ACTIVE
AL0042|BA0054|Boeing 727|ACTIVE
AL0042|BA0056|AirBus A380|ACTIVE
AL0042|BA0249|AirBus A340|ACTIVE
AL0042|BA0218|Boeing 757|ACTIVE
AL0042|BA0044|Boeing 747|ACTIVE
AL0042|BA0110|AirBus A340|ACTIVE
AL0042|BA0177|Boeing 767|ACTIVE
AL0042|BA0153|Boeing 737|ACTIVE
AL0042|BA0262|AirBus A321|ACTIVE
AL0042|BA0080|AirBus A330neo|ACTIVE
AL0042|BA0202|AirBus A220|ACTIVE
AL0042|BA0100|Boeing 707|ACTIVE
AL0042|BA0088|Boeing 717|ACTIVE
AL0042|BA0085|AirBus A340|ACTIVE
AL0042|BA0037|AirBus A330|ACTIVE
AL0042|BA0131|AirBus A380|ACTIVE
AL0042|BA0277|AirBus A340|ACTIVE
AL0042|BA0217|AirBus A330|ACTIVE
AL0042|BA0146|AirBus A321|ACTIVE
AL0042|BA0179|AirBus A340|ACTIVE
AL0042|BA0146|Boeing 787 Dreamliner|ACTIVE
AL0042|BA0122|AirBus A350 XWB|ACTIVE
AL0042|BA0259|Boeing 777|ACTIVE
AL0042|BA0229|Boeing 737|ACTIVE
AL0042|BA0126|AirBus A319|ACTIVE
AL0042|BA0232|Boeing 767|ACTIVE
AL0042|BA0283|Boeing 707|ACTIVE
AL0042|BA0079|Boeing 707|ACTIVE
AL0042|BA0013|AirBus A350 XWB|ACTIVE
AL0042|BA0237|Boeing 707|ACTIVE
AL0042|BA0228|AirBus A320|ACTIVE
AL0042|BA0100|AirBus A321|ACTIVE
AL0042|BA0041|AirBus A220|ACTIVE
AL0042|BA0085|AirBus A321XLR|ACTIVE
AL0042|BA0049|Boeing 777|ACTIVE
AL0042|BA0262|AirBus A220|ACTIVE
AL0042|BA0123|Boeing 717|ACTIVE
AL0042|BA0220|AirBus A310|ACTIVE
AL0042|BA0021|AirBus A350 XWB|ACTIVE
AL0042|BA0220|AirBus A310|ACTIVE
AL0042|BA0072|Boeing 767|ACTIVE
AL0042|BA0014|AirBus A321XLR|ACTIVE
AL0042|BA0126|AirBus A220|ACTIVE
AL0042|BA0052|Boeing 767|ACTIVE
AL0042|BA0244|Boeing 777|ACTIVE
AL0042|BA0210|Boeing 727|ACTIVE
AL0042|BA0054|Boeing 747|ACTIVE
AL0042|BA0114|AirBus A350 XWB|ACTIVE
AL0042|BA0181|Boeing 787 Dreamliner|ACTIVE
AL0042|BA0167|AirBus A319|ACTIVE
AL0042|BA0163|Boeing 787 Dreamliner|ACTIVE
AL0042|BA0018|AirBus A220|ACTIVE
AL0042|BA0158|AirBus A319|ACTIVE
AL0042|BA0047|Boeing 767|ACTIVE
AL0042|BA0289|Boeing 707|ACTIVE
AL0042|BA0023|Boeing 747|ACTIVE
AL0042|BA0191|AirBus A340|ACTIVE
AL0042|BA0282|AirBus A330neo|ACTIVE
AL0042|BA0065|Boeing 757|ACTIVE
AL0042|BA0071|Boeing 727|ACTIVE
AL0042|BA0277|AirBus A330neo|ACTIVE
AL0042|BA0102|Boeing 727|ACTIVE
AL0042|BA0255|AirBus A319|ACTIVE
AL0042|BA0226|Boeing 727|ACTIVE
AL0042|BA0075|Boeing 737|ACTIVE
AL0042|BA0225|AirBus A321XLR|ACTIVE
AL0042|BA0249|AirBus A310|ACTIVE
AL0042|BA0001|Boeing 727|ACTIVE
AL0042|BA0213|AirBus A330neo|ACTIVE
AL0042|BA0143|Boeing 757|ACTIVE
AL0042|BA0225|AirBus A330|ACTIVE
AL0042|BA0154|AirBus A220|ACTIVE
AL0042|BA0016|AirBus A321XLR|ACTIVE
AL0042|BA0056|Boeing 707|ACTIVE
AL0042|BA0030|AirBus A320|ACTIVE
AL0042|BA0020|Boeing 737|ACTIVE
AL0042|BA0160|Boeing 747|ACTIVE
AL0042|BA0192|Boeing 707|ACTIVE
AL0042|BA0075|AirBus A340|ACTIVE
AL0042|BA0020|AirBus A340|ACTIVE
AL0042|BA0212|Boeing 747|ACTIVE
AL0042|BA0260|AirBus A350 XWB|ACTIVE
AL0042|BA0098|AirBus A220|ACTIVE
AL0042|BA0023|Boeing 727|ACTIVE
AL0042|BA0058|AirBus A340|ACTIVE
AL0042|BA0165|AirBus A380|ACTIVE
AL0042|BA0105|Boeing 707|ACTIVE
AL0042|BA0179|AirBus A330neo|ACTIVE
AL0042|BA0246|Boeing 757|ACTIVE
AL0042|BA0202|AirBus A310|ACTIVE
AL0042|BA0058|Boeing 717|ACTIVE
AL0042|BA0162|AirBus A321|ACTIVE
AL0042|BA0001|AirBus A340|ACTIVE
AL0042|BA0084|AirBus A319|ACTIVE
AL0042|BA0240|AirBus A380|ACTIVE
AL0042|BA0067|Boeing 757|ACTIVE
AL0042|BA0102|AirBus A330neo|ACTIVE
AL0042|BA0191|Boeing 737|ACTIVE
AL0042|BA0032|AirBus A380|ACTIVE
AL0042|BA0006|Boeing 717|ACTIVE
AL0042|BA0048|AirBus A340|ACTIVE
AL0042|BA0121|Boeing 767|ACTIVE
AL0042|BA0013|AirBus A220|ACTIVE
AL0042|BA0181|AirBus A320|ACTIVE
AL0042|BA0080|Boeing 767|ACTIVE
AL0043|SN0183|AirBus A330neo|ACTIVE
AL0043|SN0061|AirBus A321|ACTIVE
AL0043|SN0036|AirBus A380|ACTIVE
AL0043|SN0080|Boeing 717|ACTIVE
AL0043|SN0108|Boeing 787 Dreamliner|ACTIVE
AL0043|SN0235|AirBus A220|ACTIVE
AL0043|SN0171|AirBus A380|ACTIVE
AL0043|SN0035|AirBus A330|ACTIVE
AL0043|SN0008|AirBus A319|ACTIVE
AL0043|SN0046|Boeing 777|ACTIVE
AL0043|SN0222|Boeing 727|ACTIVE
AL0043|SN0211|AirBus A220|ACTIVE
AL0043|SN0074|Boeing 777|ACTIVE
AL0043|SN0280|AirBus A340|ACTIVE
AL0043|SN0043|AirBus A321|ACTIVE
AL0043|SN0111|Boeing 727|ACTIVE
AL0043|SN0003|Boeing 787 Dreamliner|ACTIVE
AL0043|SN0053|AirBus A310|ACTIVE
AL0043|SN0070|Boeing 747|ACTIVE
AL0043|SN0099|Boeing 727|ACTIVE
AL0043|SN0047|Boeing 727|ACTIVE
AL0043|SN0220|AirBus A380|ACTIVE
AL0043|SN0012|Boeing 727|ACTIVE
AL0043|SN0008|Boeing 777|ACTIVE
AL0043|SN0236|AirBus A319|ACTIVE
AL0043|SN0006|AirBus A220|ACTIVE
AL0043|SN0187|AirBus A330neo|ACTIVE
AL0043|SN0260|Boeing 787 Dreamliner|ACTIVE
AL0043|SN0210|Boeing 777|ACTIVE
AL0043|SN0123|AirBus A321XLR|ACTIVE
AL0043|SN0155|Boeing 737|ACTIVE
AL0043|SN0013|Boeing 727|ACTIVE
AL0043|SN0137|Boeing 777|ACTIVE
AL0043|SN0230|Boeing 767|ACTIVE
AL0043|SN0035|Boeing 727|ACTIVE
AL0043|SN0179|AirBus A340|ACTIVE
AL0043|SN0053|AirBus A220|ACTIVE
AL0043|SN0234|Boeing 707|ACTIVE
AL0043|SN0217|AirBus A330|ACTIVE
AL0043|SN0126|AirBus A340|ACTIVE
AL0043|SN0252|Boeing 767|ACTIVE
AL0043|SN0094|Boeing 707|ACTIVE
AL0043|SN0130|Boeing 717|ACTIVE
AL0043|SN0055|AirBus A321|ACTIVE
AL0043|SN0162|Boeing 737|ACTIVE
AL0043|SN0052|AirBus A350 XWB|ACTIVE
AL0043|SN0276|Boeing 757|ACTIVE
AL0043|SN0215|AirBus A330neo|ACTIVE
AL0043|SN0081|AirBus A310|ACTIVE
AL0043|SN0007|AirBus A319|ACTIVE
AL0043|SN0121|AirBus A320|ACTIVE
AL0043|SN0089|AirBus A330|ACTIVE
AL0043|SN0165|AirBus A319|ACTIVE
AL0043|SN0273|Boeing 757|ACTIVE
AL0043|SN0052|Boeing 787 Dreamliner|ACTIVE
AL0043|SN0262|AirBus A310|ACTIVE
AL0043|SN0071|Boeing 747|ACTIVE
AL0043|SN0026|AirBus A319|ACTIVE
AL0043|SN0278|Boeing 777|ACTIVE
AL0043|SN0096|AirBus A330|ACTIVE
AL0043|SN0092|AirBus A340|ACTIVE
AL0043|SN0276|AirBus A310|ACTIVE
AL0043|SN0234|Boeing 767|ACTIVE
AL0043|SN0039|Boeing 777|ACTIVE
AL0043|SN0092|AirBus A330|ACTIVE
AL0043|SN0005|Boeing 737|ACTIVE
AL0043|SN0224|AirBus A321XLR|ACTIVE
AL0043|SN0011|AirBus A320|ACTIVE
AL0043|SN0001|AirBus A350 XWB|ACTIVE
AL0043|SN0009|Boeing 707|ACTIVE
AL0043|SN0156|Boeing 767|ACTIVE
AL0043|SN0237|AirBus A320|ACTIVE
AL0043|SN0293|Boeing 717|ACTIVE
AL0043|SN0090|Boeing 777|ACTIVE
AL0043|SN0236|AirBus A380|ACTIVE
AL0043|SN0167|AirBus A340|ACTIVE
AL0043|SN0059|AirBus A380|ACTIVE
AL0043|SN0126|AirBus A340|ACTIVE
AL0043|SN0086|AirBus A319|ACTIVE
AL0043|SN0260|AirBus A321|ACTIVE
AL0043|SN0223|Boeing 767|ACTIVE
AL0043|SN0158|Boeing 707|ACTIVE
AL0043|SN0269|Boeing 737|ACTIVE
AL0043|SN0201|AirBus A380|ACTIVE
AL0043|SN0031|Boeing 787 Dreamliner|ACTIVE
AL0043|SN0099|Boeing 787 Dreamliner|ACTIVE
